#pressure,1nbar,,,,,,,,
#age,10Gyr,,,,,,,,
#metallicity,50x,,,,,,,,
flux (F_e),core mass (M_e),0.10%,0.20%,0.50%,1%,2%,5%,10%,20%
1,1,2.6,1.68,1.83,,,,,
1,2,1.59,1.63,1.77,1.92,2.16,2.66,3.36,
1,3,1.65,1.7,1.82,1.95,2.14,2.55,3.1,4.02
1,4,1.72,1.77,1.87,2,2.17,2.55,3.04,3.84
1,5,1.78,1.83,1.93,2.05,2.21,2.58,3.03,3.76
1,6,1.84,1.89,1.99,2.1,2.26,2.61,3.04,3.74
1,8,1.94,1.98,2.08,2.19,2.36,2.68,3.09,3.74
1,10,2.02,2.07,2.17,2.29,2.44,2.75,3.15,3.78
1,13,2.13,2.18,2.29,2.4,2.55,2.85,3.24,3.85
1,16,2.22,2.28,2.4,2.5,2.64,2.94,3.32,3.92
1,20,2.33,2.41,2.52,2.62,2.76,3.05,3.42,4.02
10,1,,,,,,,,
10,2,1.97,2,2.16,,,,,
10,3,1.9,1.93,2.07,2.24,2.49,3.06,,
10,4,1.91,1.95,2.07,2.22,2.43,2.91,3.53,4.54
10,5,1.93,1.98,2.09,2.23,2.43,2.86,3.41,4.28
10,6,1.97,2.02,2.13,2.25,2.44,2.85,3.35,4.15
10,8,2.04,2.09,2.2,2.32,2.5,2.87,3.32,4.05
10,10,2.11,2.16,2.27,2.4,2.56,2.9,3.33,4.02
10,13,2.2,2.25,2.38,2.49,2.65,2.98,3.39,4.04
10,16,2.28,2.34,2.47,2.58,2.73,3.05,3.45,4.08
10,20,2.38,2.47,2.58,2.69,2.83,3.14,3.52,4.15
100,1,,,,,,,,
100,2,,,,,,,,
100,3,2.45,,,,,,,
100,4,2.32,2.34,2.5,2.74,3.06,,,
100,5,2.25,2.29,2.44,2.63,2.91,3.53,,
100,6,2.21,2.28,2.42,2.59,2.84,3.38,4.06,
100,8,2.23,2.29,2.42,2.58,2.8,3.25,3.81,4.71
100,10,2.27,2.33,2.46,2.61,2.8,3.21,3.72,4.53
100,13,2.34,2.4,2.54,2.67,2.85,3.22,3.68,4.42
100,16,2.4,2.48,2.61,2.73,2.9,3.26,3.69,4.39
100,20,2.49,2.58,2.7,2.82,2.98,3.31,3.73,4.4
1000,1,,,,,,,,
1000,2,,,,,,,,
1000,3,,,,,,,,
1000,4,,,,,,,,
1000,5,,,,,,,,
1000,6,2.91,,,,,,,
1000,8,2.75,2.87,3.11,3.38,,,,
1000,10,2.69,2.82,3.02,3.23,3.52,4.15,,
1000,13,2.7,2.81,2.98,3.15,3.39,3.9,4.56,
1000,16,2.74,2.84,2.98,3.13,3.34,3.81,4.39,5.31
1000,20,2.81,2.89,3.01,3.14,3.34,3.76,4.29,5.13
